Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
20;-0,6199573;0,6965660;0,3197498;0,2398147;-0,5432282;0,4018998;-0,3351734;0,9035312;0,7276501;-0,2757211;-0,1657645;-0,7872128;-0,7476169;0,9459650;-0,8097163;0,6583087;0,7834364;0,1024948;0,7626303;0,6545079;0,4678412;-0,2575519;0,4217645;0,6500910;-0,8878716;0,2424335;-0,8248841;0,8662515;153;0
4;0,5630089;-0,3503391;0,6295620;-0,4091343;0,4727595;-0,3169692;-0,4875225;-0,9679974;-0,3835621;0,8325855;-0,7989872;-0,7803579;0,1909218;0,8034178;0,7318739;-0,5932578;-0,7202247;-0,3537409;-0,5828494;-0,1317570;-0,0688393;-0,4535205;0,3242365;-0,0154269;-0,1541735;-0,4040525;0,7242299;0,1649001;354;0
8;0,3746891;0,0814971;-0,5057190;-0,9552968;-0,9388426;-0,7666387;-0,7096106;-0,9579776;0,0762579;0,5924320;-0,7082859;-0,1334280;0,9854561;0,7245600;0,0269513;0,6895248;0,4662561;-0,6841195;-0,3806350;-0,5896315;-0,4863092;0,4106041;0,2008309;0,6086813;-0,7246345;-0,5409349;-0,3257366;0,2386262;750;0
6;-0,6619001;0,0983091;-0,7125093;0,2243572;0,8505398;0,2797154;0,7433092;-0,6054875;-0,3560538;-0,9762629;0,9677252;0,7642807;-0,3803911;-0,8708629;-0,1539037;-0,1616461;0,6445219;0,3963056;0,0081688;-0,7522232;-0,1541680;-0,4957557;0,6051816;0,0589733;-0,9858210;-0,4712379;0,3261632;0,4489645;56;0
20;-0,9224943;0,7016598;0,1936451;-0,0285453;-0,7676736;0,7670528;0,1800125;0,4308393;-0,5559350;0,3576756;-0,2009564;-0,4418048;-0,4163164;0,4498280;-0,5002640;0,0242986;0,3874178;-0,7706422;-0,9669807;-0,6681016;-0,3599765;0,5248786;-0,2864409;0,7829336;0,1045340;0,2915424;-0,1906407;-0,2081869;993;0
3;0,3211472;0,9603858;0,7887158;-0,6115454;-0,1060338;-0,1817343;-0,3599328;0,9361097;-0,1290381;0,1676672;0,5567337;0,0590209;0,6034975;0,9084834;0,2113866;-0,7663599;-0,1180074;-0,5203453;0,3001444;-0,0542941;0,6156025;0,8100423;0,0771006;-0,4831568;0,9045507;0,3860192;-0,3300510;-0,9073119;420;0
7;0,1367485;-0,9312596;-0,5156539;-0,0526698;0,0780303;0,7999007;-0,8155312;0,0526467;0,0727769;0,5310703;0,9197999;-0,1952046;-0,3283241;-0,6031542;0,4171471;-0,4288122;0,2193645;0,3117894;-0,8155708;0,9861778;-0,3005204;0,8204035;-0,9652224;-0,9989527;-0,8686385;-0,3163236;0,6097113;0,1343320;131;0
16;0,7832592;0,8909061;-0,8558174;-0,8623421;0,4964609;0,4191221;0,7413829;-0,8630602;0,5239725;0,5308816;0,4334523;-0,1623847;0,6888123;0,2472299;-0,2720301;-0,5800071;-0,5416670;-0,9027062;0,2646619;-0,1600733;0,7512516;-0,1706191;-0,2554775;0,9662359;0,8463854;0,6448351;-0,3535624;-0,6818613;987;0
13;-0,6630356;0,6438923;0,6300022;0,1514880;-0,6011097;-0,6862379;0,7061853;-0,4137282;0,4625381;-0,1253447;-0,6875469;0,2574473;0,1411476;0,9299095;-0,0296797;0,3958814;-0,4659442;0,2298336;-0,8834616;0,3829062;0,9429544;-0,4522668;0,8886765;-0,7858036;-0,2206203;-0,9648309;0,5479885;0,9444336;632;0
20;0,2347917;-0,5073044;-0,2407958;0,0636597;-0,8683668;-0,9197503;0,6214841;-0,4436882;0,5646333;0,8652219;0,9588733;0,8846039;0,3838240;-0,4312052;0,7435002;-0,5811943;0,3838331;0,9287044;0,5198771;0,8288030;0,1788284;0,1803020;-0,2020890;-0,8209315;0,3321143;0,0337609;0,0539371;-0,4585384;179;0
